name,segment,sub_segment,profile,hq,final_score,acuity,roi_quant,whitespace,closeability,winnability,active_pain_timing,reachability,sourced_share,champion_role,economic_buyer_role,poc_angle,registry_source,registry_regulator,registry_id,registry_as_of,registry_url,evidence_urls
"Phil Star Development Bank, Inc.",thrift_bank,,prospect,"Alpa Hotel, Tolentino Road, Kumintang Ibaba, Batangas City",20,0.5,0.15,0.75,0.85,0.3,0.15,0.15,0.77,Head of Credit / Lending Operations Officer,Bank President/General Manager (with parent holding company sign-off),"Phil Star Development Bank is a very small, branch-based thrift bank with no visible digital application or LOS, so it likely still runs a fully manual, paper-driven process for its MSME and consumer loan files, with a single lending or credit operations officer handling document collection and review end to end. Given the bank's stalled digital-bank ambitions with SquidPay and its parent's history of unclosed tech initiatives, the pitch to test is a narrow one: pilot Kita's Document Risk Score and Capture on one loan product's existing paper trail (bank statements, IDs, payslips, permits) to see whether it can cut manual review time and days-to-decision without asking the bank to commit to any broader digital-transformation project. Success would be measured narrowly, e.g. a meaningful drop in days-to-decision or share of files requiring manual re-review on a small batch of recent applications, before any conversation about wider rollout or parent-level sign-off.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,73,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",https://manilastandard.net/business/corporate/314215599/abacore-unit-to-sell-40-stake-in-phil-star-bank.html https://www.ceicdata.com/en/philippines/published-balance-sheet/thrift-bank-total-capital-phil-star-development-bank-inc https://en.wikipedia.org/wiki/List_of_largest_banks_in_the_Philippines https://www.bworldonline.com/squidpay-technology-and-phil-star-development-bank-jointly-files-application-for-digital-banking-license/ https://www.philstar.com/business/2026/07/10/2541030/new-digital-bank-licenses-still-under-review-bsp https://www.pdic.gov.ph/files/BSDStats/TB%20Bank%20Directory_website.pdf https://www.philstar.com/business/stock-commentary/2023/02/03/2242292/squidpay-gets-e-wallet-license-revoked-bsp https://www.philstar.com/business/stock-commentary/2023/11/23/2313635/quick-takes-around-market https://www.facebook.com/philstarbank/
"Happyfund Lending Investors Inc. doing business under the name and styles of PAGHIRAM, PESO ONLINE and PHPOCKET",lending_company,olp_registered,prospect,Philippines,20,0.4,0.35,0.35,0.8,0.35,0.2,0.2,0.50,Head of Credit / Risk Operations,CEO / General Manager,"Paghiram, Peso Online and PHPocket already approve most loans off a single government ID within 24 hours using what the company calls proprietary credit-scoring technology, but optional add-ons like payslips, staff cards or business permits suggest a manual review step still gets triggered for a meaningful slice of applications, likely the thin-file, undocumented or self-employed borrowers a bureau-based score can't easily assess. The angle worth testing with the Head of Credit/Risk Operations is a bounded pilot on that overflow segment: route applications with optional documents through Kita's Document Risk Score and AI Underwriter and measure whether days-to-decision drops and the share resolved without a manual touch rises, against the current 24-hour baseline. Given the small scale and thin public footprint here, this should be framed explicitly as a hypothesis to validate on a limited volume of applications before any claim about broader fit, not a wholesale platform swap.",SEC list of recorded online lending platforms,SEC,CS201840987,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,http://www.phpocket.com/ https://cashloanph.com/phpocket/ https://retailasiaonline.com/paghiram.html http://www.paghm.com/ https://www.facebook.com/officialphpocketpage/ https://fastloanapp.info/phpocket/ https://www.sec.gov.ph/wp-content/uploads/2021/08/2021_0825ListLCFCApps.pdf https://www.sec.gov.ph/wp-content/uploads/2023/07/2023Notices_2023-07-06-%20Order%20to%20Register%20with%20CIC%20version.pdf https://www.facebook.com/cs.paghiramph/
"HC Consumer Finance Philippines, Inc.",lending_company,olp_registered,prospect,Philippines,20,0.3,0.75,0.15,0.85,0.25,0.45,0.4,0.82,Head of Credit Risk / Credit Risk Analytics Manager,"Country Chief Risk Officer or Chief Technology/Data Officer, Home Credit Philippines","Home Credit Philippines already markets itself as a digitally-forward, AI-driven lender with near-instant cash loan approvals and a lean one-ID-plus-income-proof document set, so the opening should not assume a manual, paper-heavy process Kita needs to fix. Instead, the angle worth testing is narrower: for the subset of applications where its in-house decisioning engine likely still routes to manual review or declines outright because the submitted ID, address proof, or income document is ambiguous or low-quality, Kita's Document Risk Score and AI Underwriter could be piloted as a second-look layer on a fixed sample of those flagged files. The hypothesis to validate with the Head of Credit Risk / Credit Risk Analytics Manager is whether adding this layer measurably lowers the document rejection or manual-review rate on that flagged subset within a 30-day window, without touching the existing approved-in-minutes path for clean applications. This keeps the pilot small and bounded rather than asking Home Credit to reconsider its core, already-built decisioning stack.",SEC list of recorded online lending platforms,SEC,CS201301354,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://www.homecredit.ph/apply/product-loans https://www.homecredit.ph/apply/cash-loans https://www.mocasa.com/blog/home-credit-loan-app-requirements-a-complete-guide/ https://www.linkedin.com/company/home-credit-philippines https://rocketreach.co/home-credit-philippines-profile_b5f140c6f68badfc https://www.homecredit.ph/stories/faq-home-credit-cash-loan https://www.homecredit.ph/stories/ai-powered-collections-home-credit-ph https://www.homecredit.ph/stories/home-credit-philippines-ai-ux-fintech-hackathon-2026 https://apps.apple.com/ph/app/home-credit-philippines/id1577894172 https://www.pna.gov.ph/articles/1277436 https://ph.jobstreet.com/credit-risk-jobs
Philippine Rup Financing Corporation,lending_company,olp_registered,prospect,Philippines,20,0.4,0.25,0.5,0.9,0.3,0.2,0.2,0.76,Head of Risk / Credit Assessment Lead,General Manager / Managing Director,"Philippine RUP Financing Corporation markets its Pesos.ph cash loans as fast and hassle-free, but with a small, single-product operation under 50 employees and no visible loan origination or decisioning vendor named publicly, it's plausible the ""instant approval"" claim still leans on manual review behind the scenes rather than a fully automated document-to-decision pipeline. The angle for Kita is to propose a narrow pilot on this one product: run Kita's AI Underwriter and Document Risk Score alongside the existing flow for a defined slice of new ₱1,000-50,000 applications, measuring days-to-decision and the share resolved without a manual touch against current baseline. Given the Head of Risk / Credit Assessment function is the likely owner of approval speed and fraud checks, the pitch should be framed as testing whether automated scoring can match or beat current approval rates on the same borrower pool, not as a wholesale platform swap. Given this lender's small size and thin public technology footprint, the pilot should stay cheap and short enough that the General Manager can approve it directly without a procurement process.",SEC list of recorded online lending platforms,SEC,CS201909023,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://play.google.com/store/apps/details?id=com.peso.loan.vip.credit&hl=en https://www.pesosph.com/ https://apps.apple.com/ph/app/pesos-ph-loan-fast-cash-loan/id6754908935?see-all=reviews&platform=iphone https://bossjob.ph/en-us/company/philippines-rup-financing-corporation https://apps.apple.com/ph/app/pesos-ph-loan-fast-cash-loan/id6754908935 https://www.sec.gov.ph/wp-content/uploads/2021/12/2021_1129ListLCFCApps.pdf
Biyaya Lending Corporation Doing Business Under the Name and Style of LoanStream and LendWise (Formerly Armorak Lending Inc),lending_company,olp_registered,prospect,Philippines,19,0.55,0.3,0.2,0.55,0.45,0.3,0.2,0.67,Head of Credit / Chief Risk Officer,Founder / CEO or COO,"Biyaya Lending already runs an ID-only, fully-online cash loan under LoanStream and LendWise, with an in-house ""AI-powered risk control"" layer added in 2023 for credit evaluation and fraud checks — so the open question isn't whether they'll automate, but whether their current system is actually holding up on document risk and fraud catch-rate as approvals compress toward minutes. Given the SEC cease-and-desist history around this same entity for unfair collection and undisclosed platforms, the Head of Credit/CRO likely has real incentive to tighten fraud and ID-verification controls without slowing the 3-minute application further. A bounded pilot could run Kita's Document Risk Score and AI Underwriter in shadow mode against a sample of recent ID-only applications, measuring whether it would have flagged fraud or bad debt the in-house system missed, without touching the live approval flow. Success would be a measurable lift in fraud/default flag accuracy or a reduction in manual review time on flagged cases, giving the founder/CEO a low-risk basis to decide whether to layer Kita in alongside, or in place of, the existing in-house model.",SEC list of recorded online lending platforms,SEC,CS201908271,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://biyayalending.ph/ https://biyaya-lending.com/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://mb.com.ph/2023/6/30/sec-orders-6-lending-firms-to-stop-unfair-collection-methods https://mb.com.ph/2023/6/28/sec-files-criminal-complaints-vs-more-online-lenders https://business.inquirer.net/599350/sec-lifts-moratorium-on-online-lending-firms
Corpfund Lending Investor Corporation,lending_company,olp_registered,prospect,Philippines,19,0.45,0.15,0.8,0.85,0.2,0.1,0.15,0.36,Operations / Credit Manager,President / General Manager (owner-operator),"Corpfund is a small, single-branch Davao lending company whose only ""online lending platform"" on record is a marketing Facebook page, which suggests, if the signals hold, that loan applications are still taken and reviewed manually in-branch rather than through any digital intake or decisioning tool. Given its 1-5% monthly small-loan book, the likely pain point is the operations/credit manager's time spent chasing and re-checking borrower documents (IDs, payslips, permits) by hand with no incumbent system to displace. The bounded pilot worth proposing is a narrow test of Kita Capture and Document Risk Score on a small batch of incoming applications, run alongside the existing manual process, with success measured as the share of files where document checks are completed without manual re-review and any change in days-to-decision. This is offered as a hypothesis to validate cheaply, not an assumption about Corpfund's current volume or tech budget, both of which remain unconfirmed.",SEC list of recorded online lending platforms,SEC,DS93000045,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://appointment.sec.gov.ph/wp-content/uploads/2020/06/20200531_List-of-Lending-Companies-as-of-31-May.pdf https://www.sec.gov.ph/wp-content/uploads/2023/07/2023Notices_2023-07-06-%20Order%20to%20Register%20with%20CIC%20version.pdf https://www.goodhopeph.com/ https://ploan.ph/register/125/ https://www.scribd.com/document/795873789/2024List-COMPLAINTS-HANDLING-MECHANISM-update
Crawfort Micro Lending Technologies Philippines Inc.,lending_company,olp_registered,prospect,Philippines,19,0.55,0.45,0.15,0.85,0.3,0.25,0.35,0.82,Head of Credit Risk / Risk Officer (Crawfort Philippines),"Country Manager / CEO, Crawfort Philippines (reporting into Capital C Corporation group leadership)","Crawfort PH already runs a fully paperless flow, disbursing PHP 4,000–90,000 loans through its app on top of a self-described ""AI risk control engine"" and ""Intelligent Assessment System"" for thin-file, no-credit-card borrowers — so the open question isn't whether they'll automate underwriting, but whether their in-house model is actually holding up on approval accuracy and fraud detection at this ticket size and volume. The angle is to propose a narrow, side-by-side pilot where Kita's Document Risk Score and AI Underwriter run on a slice of incoming applications (say a few hundred) in parallel with Crawfort's existing engine, comparing decision speed, document-fraud catch rate, and approval accuracy against outcomes, without touching the live production flow. If Kita's read on a sample of borderline or rejected applications turns up meaningfully better fraud or thin-file signal than the incumbent engine, that's the wedge for a deeper conversation; if not, it's a fast, low-cost no. Given the likely need for country-manager plus group-level sign-off, framing this as a bounded, reversible test rather than a platform swap is what makes it worth a first meeting.",SEC list of recorded online lending platforms,SEC,CS201906864,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://crawfort.com.ph/terms-of-services/ https://crawfort.com.ph/faqs/ https://crawfort.com/sg/singapores-capital-c-corporation-bags-sgd74-million-in-funding/ https://capc.com.sg/investors/ https://crawfort.com/sg/singapore-fintech-startup-capital-c-scores-54m-in-fresh-funding/ https://play.google.com/store/apps/details?id=com.crawfort.ph.upon&hl=en_SG https://fintechnews.sg/103117/funding/capital-c-funding/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/press-release/ https://capc.com.sg/ https://technode.global/2024/11/08/singapores-capital-c-secures-seven-figure-investment-in-pre-series-a-funding/
"Lemery Savings and Loan Bank, Inc.",thrift_bank,,prospect,"105 Ilustre Avenue, Lemery, Batangas",18,0.4,0.15,0.75,0.9,0.25,0.1,0.15,0.18,Head of Lending / Credit Department (or Branch Manager overseeing loan approvals),President / General Manager,"Lemery Savings and Loan Bank appears to be a small, traditional Batangas thrift bank with no visible loan origination or decisioning technology in the public record, which, if accurate, likely means its salary, agricultural and small-business loans across its Lemery and Balayan branches are still underwritten manually from payslips, IDs, land titles and business permits. The angle worth testing is a narrow pilot with the Head of Lending or a branch manager: run Kita's Document Risk Score and AI Underwriter on one loan type (likely salary or SME loans) at a single branch for a fixed number of applications, comparing document rejection rates and days-to-decision against the current manual process. Given the bank's small scale, the test should be framed as low-lift and reversible, with success defined narrowly as a measurable cut in turnaround time or manual review steps rather than any assumption about volume or budget. This keeps the pitch honest about what's confirmed (a BSP-licensed thrift bank with an active charter) versus what's inferred (its process is manual and underserved by any existing vendor).",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,61,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500","https://www.waze.com/live-map/directions/ph/calabarzon/balayan/lemery-savings-and-loan-bank,-inc.-a-thrift-bank?to=place.ChIJwfgCdSSjvTMRBBQh62svC2U https://www.facebook.com/lemerysavings/ https://www.pdic.gov.ph/files/BSDStats/Bank%20Directory_TB%20_website.pdf https://www.pdic.gov.ph/files/bsdstats/TB-Directory.pdf"
"Fuse Financing, Inc. (Formerly Fuse Lending Inc)",lending_company,olp_registered,prospect,Philippines,18,0.35,0.9,0.1,0.9,0.15,0.35,0.4,0.94,Head of Credit Risk / Credit Risk Analyst,"President and CEO, Fuse Financing Inc. (or Mynt Group CTO/Chief Risk Officer)","Fuse's core underwriting already runs on GCash's own behavioural and transaction data, so the more interesting test isn't the GLoan consumer flow but the $30M ADB-backed MSME push into rural and women-owned businesses, farmers, market vendors, and sari-sari store owners who are likely thin- or no-file on GCash itself and may still require permits, IDs, or bank statements to close the loan. The hypothesis worth testing is narrow: for that new-to-GCash MSME segment, can Kita's Document Risk Score and AI Underwriter cut the share of applications that fall back to manual document review, without touching the existing consumer underwriting stack. A bounded pilot would route a slice of new rural/MSME applicants through Kita alongside the incumbent flow and compare days-to-decision and manual-step rate, treating it as a scoped complement to, not a replacement for, the in-house model.",SEC list of recorded online lending platforms,SEC,CS201617622,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://www.adb.org/news/adb-commits-30-million-loan-support-msmes-philippines https://www.prnewswire.com/apac/news-releases/adb-grants-ph-fintech-leader-gcash-with-30-m-credit-facility-to-expand-loan-access-to-msmes-women-entrepreneurs-especially-in-high-poverty-areas-302684886.html https://gcash.com/terms-and-conditions/gloan https://briefglance.com/articles/adb-backs-gcash-with-30m-to-fuel-philippine-msme-growth https://fintechnews.ph/72230/lending/sec-gcash-fuse-financing-responsible-lending-philippines/ https://ploan.ph/loan/fuselending/ https://mynt.com.ph/newsroom/gcash-advisory-on-impostor-entity-fuse-lending-shut-down-by-sec-for-illegally-using-former-name-of-gcash-lending-arm https://mb.com.ph/2025/08/11/sec-shuts-down-fuse-lending-suspends-sumulong-financing-over-violations https://www.sunstar.com.ph/davao/business/fuse-financing-bridges-financing-gaps-for-millions-of-msmes-nationwide https://en.wikipedia.org/wiki/GCash https://builtin.com/job/credit-risk-analyst/3520140
PXT Lending Investors Inc,lending_company,olp_registered,prospect,Philippines,18,0.4,0.3,0.3,0.85,0.3,0.2,0.15,0.73,Head of Credit / Risk Control,CEO / General Manager,"PXT approves and disburses ID-only cash loans in minutes and already markets a ""professional risk control system,"" which suggests some automated decisioning layer is in place rather than the manual, document-heavy process Kita usually displaces — so the open question for the Head of Credit / Risk Control is whether that system is actually catching fraud and thin-file risk well, or just moving fast. A bounded pilot could run Kita's Document Risk Score and AI Underwriter alongside PXT's existing flow on a slice of incoming ID-only applications, purely as a shadow decision, to see whether it flags fraud rings or bad-actor patterns the current system misses without slowing down the minutes-level approval time PXT advertises. Success would be measured narrowly: does the shadow score materially change accept/decline calls on a sample of applications, and does it reduce the kind of impersonation and fraud exposure PXT is already publicly warning borrowers about. If it doesn't move those numbers, the honest conclusion is that PXT's current stack is good enough and this isn't the account to pursue further.",SEC list of recorded online lending platforms,SEC,CS201803298,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://apps.apple.com/ph/app/pxt-loan-online-loan/id6739958464 https://play.google.com/store/apps/details?id=org.pxt.online.loan&hl=en https://www.pxtlending.com/ https://play.google.com/store/apps/details?id=org.pxt.online.loan https://www.mexc.com/news/773823
Neuroncredit Financing Company Inc.,lending_company,olp_registered,prospect,Philippines,17,0.3,0.75,0.1,0.9,0.2,0.45,0.35,0.94,Head of Credit Risk / Credit Officer (Philippines),"Country General Manager / Country Head, Atome Philippines","Neuroncredit's Atome card and cash loan already run on lightweight, ID-and-KYC decisioning built by its Singapore parent, with approval in 1-2 days and ""no paperwork required"" for most applicants, but a locally posted credit-officer role suggests a manual review lane still exists for a subset of applications that don't clear the automated path. The angle for Kita is narrow: propose a bounded pilot on just that manual-review queue, testing whether Document Risk Score and AI Underwriter can lift the share of those edge-case applications decided without human review and cut their days-to-decision, without touching the group's core in-house decisioning stack. Given Neuroncredit likely defaults to its parent's shared AI/credit infrastructure for anything core, this is framed as a scoped, reversible test on the residual manual slice rather than a platform replacement, with success measured purely by reduction in manual-review turnaround and rejection rate on that subset.",SEC list of recorded online lending platforms,SEC,CS201816338,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://apps.apple.com/ph/app/atome-ph-buy-now-pay-later/id1577294865 https://play.google.com/store/apps/details?id=ph.atome.paylater&hl=en https://ph.jobstreet.com/companies/atome-168552980622510 https://www.cbinsights.com/company/atome https://sg.finance.yahoo.com/news/atome-secures-75-mln-financing-010000455.html https://www.mexc.com/news/468572 https://philjobnet.gov.ph/job-vacancies/company/neuroncredit-financing-company-inc-422318 https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://apps.apple.com/ph/app/id1577294865
"Plentina Lending, Inc. Doing Business Under The Name And Style Of Plentina",lending_company,olp_registered,prospect,Philippines,17,0.3,0.45,0.15,0.9,0.5,0.25,0.4,1.00,Head of Credit Risk / Data Science,CEO / Co-founder,"Plentina's flagship flow already approves most borrowers in under five minutes off an ID and a selfie using its own in-house ML score, so the wedge here is narrower than Kita's usual document-heavy pitch: the visible opening is the slower secondary path, where applicants submitting proof of employment can wait up to three business days for manual review. A bounded pilot could test whether Kita's Document Risk Score and AI Underwriter can compress that specific employment-verification queue — the segment Plentina's core model doesn't auto-clear — down from multi-day to near-real-time, measured on days-to-decision and share of that sub-segment cleared without manual review. Given Plentina has already built and markets its own alternative-data scoring engine as its core IP, this should be framed as augmenting the one segment its model still routes to a human, not replacing the scoring stack, and success in that narrow slice would be the basis for any broader conversation.",SEC list of recorded online lending platforms,SEC,CS20200001117,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://apps.apple.com/us/app/plentina-ph/id1605931503 https://www.plentina.com/ https://techcrunch.com/2021/04/15/philippines-buy-now-pay-later-startup-plentina-raises-2-2m-seed-round/ https://www.moneymax.ph/loans/articles/plentina-loan https://www.crowdfundinsider.com/2022/01/186313-bnpl-fintech-plentina-teams-up-with-southeast-asias-digital-retailer-zalora/ https://www.technologyforyou.org/philippines-buy-now-pay-later-startup-plentina-raises-2-2m-seed-round/ https://triceloans.ph/plentina-review/ https://www.cbinsights.com/company/plentina https://www.crunchbase.com/organization/plentina https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://hubbis.com/news/plentina-wealth-pioneers-robo-advisory-services-in-the-philippines-aiming-to-transform-nation-into-investors
"Yuanta Savings Bank Philippines, Inc.",thrift_bank,,prospect,"G/F Chatham House Condominium, 116 Valero cor. V.A. Rufino Sts. , Salcedo Village, 1227 Makati City",16,0.25,0.2,0.55,0.9,0.25,0.15,0.3,0.72,Head of Credit / Chief Risk Officer,Bank President / Country CEO (subject to Taiwan parent board approval),"Yuanta Savings Bank Philippines is a small, single-office thrift bank whose disclosed loan book is collateral- and appraisal-based (secured personal and home loans), not the document-only, thin-file MSME/consumer lending Kita is built for, so this is a weaker fit than the wedge's core profile and any conversation should test that mismatch head-on rather than assume it. If, as it appears from the bank's low volume (23rd among thrift banks by assets, branch closures since 2020) and lack of any visible digital-lending push, there is nonetheless a manual, appraisal-and-document-heavy step in processing collateral valuations, IDs and permits for its secured personal loans, a bounded pilot would run Kita's Document Risk Score and Capture tools on a small batch of recent secured-loan files to see whether document verification time or rejection/rework rate drops, with the Head of Credit as the person best placed to judge whether that manual step is actually painful enough to matter. The success metric to agree upfront: does automated document scoring cut days-to-decision or manual touches on this specific loan type by a meaningful margin on a sample of, say, 20-30 files, before any conversation about broader rollout given the likely need for Taiwan parent sign-off.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,78,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",https://www.crunchbase.com/organization/yuanta-savings-bank-philippines https://www.yuanta.com/EN/Yuanta-Group/Bank/Products-and-Services https://www.yuanta.com.ph/loans.html https://yuanta.com.ph/assets/annualreport2024.pdf https://en.wikipedia.org/wiki/List_of_largest_banks_in_the_Philippines https://yuanta.com.ph/about.html https://www.zoominfo.com/c/yuanta-savings-bank-philippines-inc/452509985 https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-revoked-and-suspended-lending-companies/ https://www.yuanta.com/EN/News-and-Media/Announcements/Detail?id=6e7853d8-f8b0-4f29-be51-3492819b955f https://www.zoominfo.com/pic/yuanta-savings-bank-philippines-inc/452509985 https://yuanta.com.ph/ https://ctb.com.ph/yuanta-savings-bank-philippines-inc-2/
Kviku Lending Co. Inc.,lending_company,olp_registered,prospect,Philippines,16,0.3,0.4,0.15,0.9,0.3,0.4,0.25,0.78,Head of Credit Risk / Country Risk Manager (Kviku Philippines),"Country Manager / Local CEO of Kviku Lending Co. Inc., subject to sign-off from Kviku Group's central credit/technology leadership","Kviku already runs a fast, single-ID, minimal-paperwork app flow with a Trusting Social alternative-scoring integration, so this isn't the manual-underwriting rescue Kita usually pitches — the honest angle is a benchmark, not a fix. With the SEC's new framework pushing lending companies toward mandatory Credit Information Corporation checks and away from outsourced core lending functions, the Country Risk Manager likely needs to show the current scoring stack still holds up (or improve it) without ceding control of the decision itself. The bounded test: run Kita's AI Underwriter or Document Risk Score in shadow mode against a sample of recent Kviku PH applications, comparing approval accuracy, fraud/document-risk flags, and time-to-decision against the existing Trusting Social-based flow, with no change to the live borrower experience. Success would be a measurable lift in decision quality or speed on a defined cohort, giving the local team hard evidence to bring to group technology leadership before any procurement conversation starts.",SEC list of recorded online lending platforms,SEC,CS201918702,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://play.google.com/store/apps/details?id=com.kviku.ph.mobile&hl=en https://ploan.ph/register/3169/ https://kviku.ph/faq https://kviku.finance/ https://riskseal.io/blog/10-best-apis-for-predictive-credit-scoring-in-lending-platforms-2026-edition https://cy.linkedin.com/company/kviku https://kviku.ph/contacts https://www.sec.gov.ph/lending-companies-and-financing-companies-2/press-release/ https://p2pdash.com/platforms/kviku/ https://business.inquirer.net/599350/sec-lifts-moratorium-on-online-lending-firms https://www.mexc.com/news/917302
"Maribank Philippines, Inc.",digital_bank,,prospect,"32 Rizal St., Poblacion 2, Pagsanjan, 4008 Laguna",15,0.2,0.5,0.15,0.6,0.25,0.45,0.35,0.82,Credit Risk Lead / Head of Credit Risk,Chief Risk Officer or Country President/CEO,"Maribank Philippines' consumer credit line runs instantly on Shopee/ShopeePay/SPayLater behavioural data with no document upload, which is precisely the kind of thin-file-but-behaviourally-rich book that's hardest to extend beyond ""selected users"" without pulling in harder-to-verify applicants who do need document-based underwriting (payslips, IDs, business permits). Given the bank's own job postings show it is building scorecards and ECL models in-house rather than buying decisioning software, the angle is not to replace that stack but to propose a narrow pilot: run Kita's Document Risk Score and AI Underwriter alongside the existing model on a defined slice of applicants who fall outside the current behavioural-data eligibility criteria (e.g., non-Shopee-linked or new-to-ecosystem borrowers), and compare share of these applications decided without manual review and days-to-decision against the incumbent process. If the pilot shows Kita can extend the addressable applicant pool at comparable approval quality, that's the basis for a broader conversation; if not, the cost is limited to one cohort and one integration test.",BSP Directory of Banks and Non-Bank Financial Institutions: digital banks,BSP,211,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500","https://www.maribank.ph/product/maribank-credit https://play.google.com/store/apps/details?id=ph.seabank.seabank&hl=en https://fintechnews.ph/72540/digital-banking-news-philippines/maribank-digital-bank-licence-philippines/ https://ph.trabajo.org/job-4112-2632f93d6b078ea3ac3e4d8ef92d54e1 https://ph.trabajo.org/job-2273-bd03cc4226c0a9b2de717b3cd19d945b https://www.gmanetwork.com/news/money/companies/995914/maribank-philippines-is-country-s-seventh-digital-bank-licensee/story/ https://www.rappler.com/business/maribank-officially-reclassified-digital-bank-bangko-sentral-pilipinas/ https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500 https://apps.apple.com/us/app/-/id1592249158 https://ph.trabajo.org/job-2273-51453aaf35dc968641b4ce2ad579b0c1 https://www.philstar.com/business/2026/07/25/2544422/maribank-becomes-7th-digital-bank-philippines"
Pera247 Lending Corporation,lending_company,olp_registered,prospect,Philippines,15,0.3,0.45,0.15,0.9,0.4,0.15,0.2,0.86,Head of Credit / Chief Risk Officer,CEO / Co-founder (or parent-group CTO),"Pera247 already decides most loans in minutes off behavioral smartphone data alone, which is a poorer fit for Kita's document-driven underwriting than most Philippine lending-company targets — but that same algorithm-first approach means approval quality and fraud losses likely fall entirely on the in-house model's blind spots, with no document layer to cross-check identity or income claims. The angle worth testing with the Head of Credit is narrow: run Kita's Document Risk Score and AI Underwriter as a secondary check on a slice of applications (say, larger-ticket loans in the PHP 15,000-70,000 band) where a borrower does submit an ID or payslip, to see whether adding a document-based signal measurably cuts default or fraud rate versus behavioral-data-only decisions. Success would be a defined lift in approval accuracy or fraud detection on that pilot slice within 60-90 days, not a wholesale replacement of the existing scoring engine, given how central that engine is to Pera247's own positioning.",SEC list of recorded online lending platforms,SEC,CS201734339,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://www.digitalnewsasia.com/startups/asiakredit-launches-pera247-mobile-lending-app-philippines https://www.digitalnewsasia.com/digital-economy/asiakredit-pushes-consumer-finance https://cashloanph.com/pera247ph/ https://www.theasianbanker.com/press-releases/gobear-acquires-asiakredit-to-expand-alternate-consumer-lending-services https://ploan.ph/register/2582/ https://asiakredit.com/about-us https://asiakredit.com/news-and-team-articles/6 https://businessmirror.com.ph/2020/05/06/gobear-acquires-asiakredit-to-expand-alternate-consumer-lending-services/ https://www.asiaone.com/business/asiakredit-pushes-consumer-finance-new-suite-digital-installment-products-underbanked
